"Package" "LibPath" "Version" "Priority" "Depends" "Imports" "LinkingTo" "Suggests" "Enhances" "License" "License_is_FOSS" "License_restricts_use" "OS_type" "MD5sum" "NeedsCompilation" "Built"
"locfit" "locfit" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.5-9.4" NA "R (>= 3.5.0)" "lattice" NA "interp, gam" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"loo" "loo" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.4.1" NA "R (>= 3.1.2)" "checkmate, matrixStats (>= 0.52), parallel, stats" NA "bayesplot (>= 1.7.0), brms (>= 2.10.0), ggplot2, graphics,
knitr, rmarkdown, rstan, rstanarm (>= 2.19.0), rstantools,
spdep, testthat (>= 2.1.0)" NA "GPL (>= 3)" NA NA NA NA "no" "4.1.0"
"LoomExperiment" "LoomExperiment" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.10.0" NA "R (>= 3.5.0), S4Vectors, SingleCellExperiment,
SummarizedExperiment, methods, rhdf5, BiocIO" "DelayedArray, GenomicRanges, HDF5Array, Matrix, stats,
stringr, utils" NA "testthat, BiocStyle, knitr, reticulate" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"lpSolve" "lpSolve" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "5.6.15" NA NA NA NA NA NA "LGPL-2" NA NA NA NA "yes" "4.1.0"
"lsei" "lsei" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.3-0" NA NA NA NA NA NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"lubridate" "lubridate" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.7.10" NA "methods, R (>= 3.2)" "generics, Rcpp (>= 0.12.13)" "Rcpp" "covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0), rmarkdown" "chron, timeDate, tis, zoo" "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"lwgeom" "lwgeom" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.2-6" NA "R (>= 3.3.0)" "Rcpp, units, sf (>= 0.9-3)" "Rcpp, sf (>= 0.6-0)" "covr, sp, geosphere, testthat" NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"magic" "magic" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.5-9" NA "R (>= 2.10), abind" NA NA NA NA "GPL-2" NA NA NA NA "no" "4.1.0"
"magick" "magick" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.7.2" NA NA "Rcpp (>= 0.12.12), magrittr, curl" "Rcpp" "av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"magrittr" "magrittr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0.1" NA NA NA NA "covr, knitr, rlang, rmarkdown, testthat" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"manipulate" "manipulate" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.1" NA "R (>= 2.11.1)" NA NA NA NA "GPL-2" NA NA NA NA "no" "4.1.0"
"manipulateWidget" "manipulateWidget" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.10.1" NA NA "shiny (>= 1.0.3), miniUI, htmltools, htmlwidgets, knitr,
methods, tools, base64enc, grDevices, codetools, webshot" NA "dygraphs, leaflet, plotly, xts, rmarkdown, testthat, covr" NA "GPL (>= 2) | file LICENSE" NA NA NA NA "no" "4.1.0"
"mapproj" "mapproj" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.7" NA "R (>= 3.0.0), maps (>= 2.3-0)" "stats, graphics" NA NA NA "Lucent Public License" NA NA NA NA "yes" "4.1.0"
"maps" "maps" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "3.3.0" NA "R (>= 3.0.0)" "graphics, utils" NA "mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth" NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"maptools" "maptools" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1-1" NA "R (>= 2.10), sp (>= 1.0-11)" "foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices" NA "rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)" "gpclib" "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"markdown" "markdown" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1" NA "R (>= 2.11.1)" "utils, xfun, mime (>= 0.3)" NA "knitr, RCurl" NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"marray" "marray" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.70.0" NA "R (>= 2.10.0), limma, methods" NA NA "tkWidgets" NA "LGPL" NA NA NA NA "no" "4.1.0"
"MASS" "MASS" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "7.3-54" "recommended" "R (>= 3.3.0), grDevices, graphics, stats, utils" "methods" NA "lattice, nlme, nnet, survival" NA "GPL-2 | GPL-3" NA NA NA NA "yes" "4.1.0"
"MAST" "MAST" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.18.0" NA "SingleCellExperiment (>= 1.2.0), R(>= 3.5)" "Biobase, BiocGenerics, S4Vectors, data.table, ggplot2, plyr,
stringr, abind, methods, parallel, reshape2, stats, stats4,
graphics, utils, SummarizedExperiment(>= 1.5.3), progress" NA "knitr, rmarkdown, testthat, lme4(>= 1.0), blme, roxygen2(>
6.0.0), numDeriv, car, gdata, lattice, GGally, GSEABase, NMF,
TxDb.Hsapiens.UCSC.hg19.knownGene, rsvd, limma, RColorBrewer,
BiocStyle, scater, DelayedArray, Matrix, HDF5Array, zinbwave,
dplyr" NA "GPL(>= 2)" NA NA NA NA "no" "4.1.0"
"mathjaxr" "mathjaxr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4-0" NA NA NA NA "js" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"matlab" "matlab" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.2" NA "R (>= 2.15)" "methods" NA NA NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"Matrix" "Matrix" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.3-3" "recommended" "R (>= 3.5.0)" "methods, graphics, grid, stats, utils, lattice" NA "expm, MASS" "MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep" "GPL (>= 2) | file LICENCE" NA NA NA NA "yes" "4.1.0"
"Matrix.utils" "Matrix.utils" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.9.8" NA "R (>= 3.0.0), Matrix" "grr, methods, stats" NA "testthat" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"MatrixGenerics" "MatrixGenerics" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4.0" NA "matrixStats (> 0.57.0)" "methods" NA "sparseMatrixStats, DelayedMatrixStats, SummarizedExperiment,
testthat (>= 2.1.0)" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"MatrixModels" "MatrixModels" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.5-0" NA "R (>= 3.0.1)" "stats, methods, Matrix (>= 1.1-5)" NA NA NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"matrixStats" "matrixStats" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.58.0" NA "R (>= 2.12.0)" NA NA "base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp" NA "Artistic-2.0" NA NA NA NA "yes" "4.1.0"
"maxLik" "maxLik" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4-8" NA "R (>= 2.4.0), miscTools (>= 0.6-8), methods" "sandwich" NA "testthat, MASS, clue, dlm, plot3D" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"maxstat" "maxstat" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.7-25" NA "R (>= 1.7.0)" "exactRankTests(>= 0.8-23), mvtnorm(>= 0.5-10), stats, graphics" NA "TH.data, survival" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"mbkmeans" "mbkmeans" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.8.0" NA "R (>= 3.6)" "methods, DelayedArray, Rcpp, S4Vectors, SingleCellExperiment,
SummarizedExperiment, ClusterR, benchmarkme, Matrix,
BiocParallel" "Rcpp, RcppArmadillo (>= 0.7.2), Rhdf5lib, beachmat, ClusterR" "beachmat, HDF5Array, Rhdf5lib, BiocStyle, TENxPBMCData,
scater, DelayedMatrixStats, bluster, knitr, testthat, rmarkdown" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"mclust" "mclust" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "5.4.7" NA "R (>= 3.0)" "stats, utils, graphics, grDevices" NA "knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"mcmc" "mcmc" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.9-7" NA "R (>= 3.0.2)" "stats" NA "xtable, Iso" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"MCMCpack" "MCMCpack" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.5-0" NA "R (>= 3.6), coda (>= 0.11-3), MASS, stats" "graphics, grDevices, lattice, methods, utils, mcmc, quantreg" NA NA NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"mcmcse" "mcmcse" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4-1" NA NA "utils, ellipse, Rcpp (>= 0.12.10)" "Rcpp, RcppArmadillo" "mAr, knitr" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"mcr" "mcr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.2" NA "R (>= 3.0.0), methods" NA NA "RUnit, XML" NA "GPL (>= 3)" NA NA NA NA "yes" "4.1.0"
"memoise" "memoise" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0.0" NA NA "rlang (>= 0.4.10), cachem" NA "digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"metapod" "metapod" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.0" NA NA "Rcpp" "Rcpp" "testthat, knitr, BiocStyle, rmarkdown" NA "GPL-3" NA NA NA NA "yes" "4.1.0"
"mgcv" "mgcv" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.8-35" "recommended" "R (>= 3.6.0), nlme (>= 3.1-64)" "methods, stats, graphics, Matrix, splines, utils" NA "parallel, survival, MASS" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"microbenchmark" "microbenchmark" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4-7" NA NA "graphics, stats" NA "ggplot2, multcomp, RUnit" NA "BSD_2_clause + file LICENSE" NA NA NA NA "yes" "4.1.0"
"mime" "mime" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.10" NA NA "tools" NA NA NA "GPL" NA NA NA NA "yes" "4.1.0"
"minfi" "minfi" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.38.0" NA "methods, BiocGenerics (>= 0.15.3), GenomicRanges,
SummarizedExperiment (>= 1.1.6), Biostrings, bumphunter (>=
1.1.9)" "S4Vectors, GenomeInfoDb, Biobase (>= 2.33.2), IRanges,
beanplot, RColorBrewer, lattice, nor1mix, siggenes, limma,
preprocessCore, illuminaio (>= 0.23.2), DelayedMatrixStats (>=
1.3.4), mclust, genefilter, nlme, reshape, MASS, quadprog,
data.table, GEOquery, stats, grDevices, graphics, utils,
DelayedArray (>= 0.15.16), HDF5Array, BiocParallel" NA "IlluminaHumanMethylation450kmanifest (>= 0.2.0),
IlluminaHumanMethylation450kanno.ilmn12.hg19 (>= 0.2.1),
minfiData (>= 0.18.0), minfiDataEPIC, FlowSorted.Blood.450k (>=
1.0.1), RUnit, digest, BiocStyle, knitr, rmarkdown, tools" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"miniUI" "miniUI" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1.1.1" NA NA "shiny (>= 0.13), htmltools (>= 0.3), utils" NA NA NA "GPL-3" NA NA NA NA "no" "4.1.0"
"minqa" "minqa" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.4" NA NA "Rcpp (>= 0.9.10)" "Rcpp" NA NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"miQC" "miQC" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.99.9" NA NA "SingleCellExperiment, flexmix, ggplot2, splines, BiocParallel" NA "scRNAseq, scater, biomaRt, BiocStyle, knitr, rmarkdown" NA "BSD_3_clause + file LICENSE" NA NA NA NA "no" "4.1.0"
"misc3d" "misc3d" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.9-0" NA NA "grDevices, graphics, stats, tcltk" NA "rgl, tkrplot, MASS" NA "GPL" NA NA NA NA "no" "4.1.0"
"miscTools" "miscTools" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.6-26" NA "R (>= 2.14.0)" "digest" NA "Ecdat (>= 0.1-5)" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"mixsqp" "mixsqp" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.3-43" NA "R (>= 3.3.0)" "utils, stats, irlba, Rcpp (>= 0.12.15)" "Rcpp, RcppArmadillo" "REBayes, Rmosek, testthat, knitr, rmarkdown" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"mixtools" "mixtools" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.0" NA "R (>= 3.5.0)" "kernlab, MASS, segmented, stats, survival" NA NA NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"mlbench" "mlbench" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.1-3" NA "R (>= 2.10)" NA NA "lattice" NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"mlogit" "mlogit" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1-1" NA "R (>= 2.10), dfidx" "Formula, zoo, lmtest, statmod, MASS, Rdpack" NA "knitr, car, nnet, lattice, AER, ggplot2, texreg, rmarkdown" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"mnormt" "mnormt" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.0.2" NA "R (>= 2.2.0)" "tmvnsim (>= 1.0-2)" NA NA NA "GPL-2 | GPL-3" NA NA NA NA "yes" "4.1.0"
"ModelMetrics" "ModelMetrics" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.2.2" NA "R (>= 3.2.2)" "Rcpp, data.table" "Rcpp" "testthat" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"modelr" "modelr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1.8" NA "R (>= 3.2)" "broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs" NA "compiler, covr, ggplot2, testthat" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"modeltools" "modeltools" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.2-23" NA "stats, stats4" "methods" NA NA NA "GPL-2" NA NA NA NA "no" "4.1.0"
"monocle" "monocle" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.20.0" NA "R (>= 2.10.0), methods, Matrix (>= 1.2-6), Biobase, ggplot2
(>= 1.0.0), VGAM (>= 1.0-6), DDRTree (>= 0.1.4)," "parallel, igraph (>= 1.0.1), BiocGenerics, HSMMSingleCell (>=
0.101.5), plyr, cluster, combinat, fastICA, grid, irlba (>=
2.0.0), matrixStats, densityClust (>= 0.3), Rtsne, MASS,
reshape2, limma, tibble, dplyr, qlcMatrix, pheatmap, stringr,
proxy, slam, viridis, stats, biocViews, RANN(>= 2.5), Rcpp (>=
0.12.0)" "Rcpp" "destiny, Hmisc, knitr, Seurat, scater, testthat" NA "Artistic-2.0" NA NA NA NA "yes" "4.1.0"
"mosaic" "mosaic" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.8.3" NA "R (>= 3.0.0)," "dplyr, lattice (>= 0.20-21), ggformula, mosaicData, Matrix,
mosaicCore (>= 0.7.0), ggplot2, ggstance, ggridges, ggrepel,
rlang (>= 0.4.7), MASS, grid, tidyr, readr, methods, utils,
splines, latticeExtra, ggdendro, gridExtra, glue, broom,
leaflet" NA "vdiffr, lubridate, magrittr, NHANES, RCurl, sp, maptools,
vcd, testthat, knitr, tools, parallel, mapproj, rgl, rmarkdown,
covr, formatR, palmerpenguins" "manipulate" "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"mosaicCore" "mosaicCore" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.9.0" NA "R (>= 3.3.0)" "stats, dplyr, rlang, tidyr, MASS" NA "mosaicData, mosaic, ggformula, NHANES, testthat" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"mosaicData" "mosaicData" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.20.2" NA "R (>= 3.0.0)" NA NA "lattice, mosaic, reshape2, ggplot2, dplyr, tidyr, ggformula" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"MouseGastrulationData" "MouseGastrulationData" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.6.0" NA "R (>= 4.1), SingleCellExperiment, SummarizedExperiment,
SpatialExperiment" "methods, ExperimentHub, BiocGenerics, S4Vectors, BumpyMatrix" NA "BiocStyle, knitr, rmarkdown" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"mpoly" "mpoly" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1.1" NA NA "stringr (>= 1.0.0), stringi, partitions, plyr, stats, ggplot2,
polynom, orthopolynom, tidyr" NA "testthat (>= 2.1.0), magrittr, dplyr, covr" NA "GPL-2" NA NA NA NA "no" "4.1.0"
"msigdbr" "msigdbr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "7.4.1" NA "R (>= 3.3.0)" "babelgene, dplyr (>= 0.7.0), magrittr, rlang, tibble,
tidyselect" NA "knitr, rmarkdown, testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"multcomp" "multcomp" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4-17" NA "stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)" "sandwich (>= 2.3-0), codetools" NA "lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5)" NA "GPL-2" NA NA NA NA "no" "4.1.0"
"MultiAssayExperiment" "MultiAssayExperiment" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.18.0" NA "R (>= 4.0.0), SummarizedExperiment (>= 1.3.81)" "methods, GenomicRanges (>= 1.25.93), BiocGenerics, S4Vectors
(>= 0.23.19), IRanges, Biobase, stats, tidyr, utils" NA "BiocStyle, HDF5Array (>= 1.19.17), knitr, maftools (>=
2.7.10), rmarkdown, R.rsp, RaggedExperiment, UpSetR, survival,
survminer, testthat" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"multicool" "multicool" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.1-11" NA "methods, Rcpp (>= 0.11.2)" NA "Rcpp" NA NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"multipol" "multipol" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0-7" NA "abind" NA NA "polynom" NA "GPL" NA NA NA NA "no" "4.1.0"
"multtest" "multtest" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2.48.0" NA "R (>= 2.10), methods, BiocGenerics, Biobase" "survival, MASS, stats4" NA "snow" NA "LGPL" NA NA NA NA "yes" "4.1.0"
"mumosa" "mumosa" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.0" NA "SingleCellExperiment" "stats, utils, methods, igraph, Matrix, BiocGenerics,
BiocParallel, IRanges, S4Vectors, DelayedArray,
DelayedMatrixStats, SummarizedExperiment, BiocNeighbors,
BiocSingular, ScaledMatrix, beachmat, scuttle, metapod, scran,
batchelor, uwot" NA "testthat, knitr, BiocStyle, rmarkdown, scater, bluster,
DropletUtils, scRNAseq" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"munsell" "munsell" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.5.0" NA NA "colorspace, methods" NA "ggplot2, testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "4.1.0"
"mvtnorm" "mvtnorm" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.1-1" NA "R(>= 3.5.0)" "stats, methods" NA NA NA "GPL-2" NA NA NA NA "yes" "4.1.0"
"networkD3" "networkD3" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.4" NA "R (>= 3.0.0)" "htmlwidgets (>= 0.3.2), igraph, magrittr" NA "htmltools (>= 0.2.6), jsonlite," "knitr, shiny" "GPL (>= 3)" NA NA NA NA "no" "4.1.0"
"nimble" "nimble" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.11.0" NA "R (>= 3.1.2)" "methods,igraph,coda,R6" NA "testthat" NA "BSD_3_clause + file LICENSE | GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"nlme" "nlme" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "3.1-152" "recommended" "R (>= 3.4.0)" "graphics, stats, utils, lattice" NA "Hmisc, MASS" NA "GPL (>= 2) | file LICENCE" NA NA NA NA "yes" "4.1.0"
"nloptr" "nloptr" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.2.2.2" NA NA NA NA "testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)" NA "LGPL-3" NA NA NA NA "yes" "4.1.0"
"NLP" "NLP" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.2-1" NA "R (>= 3.2.0)" "utils" NA NA "udpipe, spacyr, cleanNLP" "GPL-3" NA NA NA NA "no" "4.1.0"
"NMF" "NMF" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.23.0" NA "R (>= 3.0.0), methods, utils, pkgmaker (>= 0.20), registry,
rngtools (>= 1.2.3), cluster" "graphics, stats, stringr (>= 1.0.0), digest, grid, grDevices,
gridBase, colorspace, RColorBrewer, foreach, doParallel,
ggplot2, reshape2, BiocManager, Biobase" NA "fastICA, doMPI, bigmemory (>= 4.2), synchronicity(>= 1.3.2),
corpcor, xtable, devtools, knitr, bibtex, RUnit, mail" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"nnls" "nnls" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4" NA NA NA NA NA NA "GPL (>= 2)" NA NA NA NA NA "4.1.0"
"nor1mix" "nor1mix" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.3-0" NA NA "stats, graphics" NA "cluster" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"npsurv" "npsurv" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.5-0" NA "lsei" "methods" NA NA NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"numDeriv" "numDeriv" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2016.8-1.1" NA "R (>= 2.11.1)" NA NA NA NA "GPL-2" NA NA NA NA "no" "4.1.0"
"openssl" "openssl" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4.4" NA NA "askpass" NA "testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"openxlsx" "openxlsx" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "4.2.3" NA "R (>= 3.3.0)" "grDevices, methods, Rcpp, stats, utils, zip, stringi" "Rcpp" "knitr, testthat, roxygen2, rmarkdown" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"optimx" "optimx" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "2020-4.2" NA NA "numDeriv" NA "knitr, rmarkdown, setRNG, BB, ucminf, minqa, dfoptim,
lbfgsb3c, lbfgs, subplex" NA "GPL-2" NA NA NA NA "no" "4.1.0"
"optparse" "optparse" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.6.6" NA "R (>= 2.9.0)" "methods, getopt (>= 1.20.2)" NA "covr, knitr (>= 1.15.19), stringr, testthat" NA "GPL (>= 2)" NA NA NA NA "no" "4.1.0"
"org.Hs.eg.db" "org.Hs.eg.db" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "3.13.0" NA "R (>= 2.7.0), methods, AnnotationDbi (>= 1.53.1)" "methods, AnnotationDbi" NA "DBI, annotate, RUnit" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"org.Mm.eg.db" "org.Mm.eg.db" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "3.13.0" NA "R (>= 2.7.0), methods, AnnotationDbi (>= 1.53.1)" "methods, AnnotationDbi" NA "DBI, annotate, RUnit" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"origami" "origami" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0.3" NA "R (>= 3.0.0)," "abind, methods, data.table, assertthat, future, future.apply,
listenv" NA "testthat, class, rmarkdown, knitr, stringr, forecast,
randomForest" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"orthopolynom" "orthopolynom" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.0-5" NA "R (>= 2.0.1), polynom" NA NA NA NA "GPL (>= 2)" NA NA NA NA NA "4.1.0"
"packrat" "packrat" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.6.0" NA "R (>= 3.0.0)" "tools, utils" NA "testthat (>= 0.7), devtools, httr, knitr, rmarkdown" NA "GPL-2" NA NA NA NA "no" "4.1.0"
"pals" "pals" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.7" NA "R (>= 2.10)" "dichromat, colorspace, graphics, grDevices, mapproj, maps,
methods, stats" NA "classInt, ggplot2, knitr, latticeExtra, reshape2, rgl,
rmarkdown, testthat" NA "GPL-3" NA NA NA NA "no" "4.1.0"
"pander" "pander" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.6.3" NA "R (>= 2.15.0)" "grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp" "Rcpp" "grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en,
futile.logger, survival, microbenchmark, zoo, nlme, descr,
MASS, knitr, rmarkdown, tables, reshape, memisc, Epi,
randomForest, tseries, gtable, rms, forecast, data.table" NA "AGPL-3 | file LICENSE" NA NA NA NA "yes" "4.1.0"
"parallelly" "parallelly" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.25.0" NA NA "parallel, tools, utils" NA NA NA "LGPL (>= 2.1)" NA NA NA NA "no" "4.1.0"
